site,edition,classification,t,n,m,grade,location,stage,note
NET - pancreas,AJCC7,yp,T3,N0,M0,Any,Any,IIA,source_page=261; extract_method=stage_first; extra_factors/raw_extra=Acinar cell cystadenocarcinoma | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pancreas - exocrine/endocrine (AJCC7) -> tool_site=NET - pancreas
NET - pancreas,AJCC7,yp,T1,N1,M0,Any,Any,IIB,source_page=261; extract_method=stage_first; extra_factors/raw_extra=Mixed acinar-endocrine carcinoma | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pancreas - exocrine/endocrine (AJCC7) -> tool_site=NET - pancreas
NET - pancreas,AJCC7,yp,T2,N1,M0,Any,Any,IIB,source_page=261; extract_method=stage_carried; extra_factors/raw_extra=Pancreaticoblastoma | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pancreas - exocrine/endocrine (AJCC7) -> tool_site=NET - pancreas
NET - pancreas,AJCC7,yp,T3,N1,M0,Any,Any,IIB,source_page=261; extract_method=stage_carried; extra_factors/raw_extra=Solid pseudopapillary carcinoma | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pancreas - exocrine/endocrine (AJCC7) -> tool_site=NET - pancreas
NET - pancreas,AJCC7,yp,T4,Any,M0,Any,Any,III,source_page=261; extract_method=stage_first; extra_factors/raw_extra=Mucinous cystic tumor with moderate dysplasia | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pancreas - exocrine/endocrine (AJCC7) -> tool_site=NET - pancreas
NET - pancreas,AJCC7,yp,Any,Any,M1,Any,Any,IV,source_page=261; extract_method=stage_first; extra_factors/raw_extra=Intraductal papillary-mucinous tumor with moderate | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pancreas - exocrine/endocrine (AJCC7) -> tool_site=NET - pancreas
"Bone: Appendicular Skeleton, Trunk, Skull and Facial Bones",AJCC7,any,T1,N0,M0,Any,Any,IA,"source_page=297; extract_method=stage_first; extra_factors/raw_extra=G1,2 Low grade, GX | C40.0 Long bones of; duplicate_source_page=300; duplicate_source_page=305 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Bone -> tool_site=Bone: Appendicular Skeleton, Trunk, Skull and Facial Bones"
"Bone: Appendicular Skeleton, Trunk, Skull and Facial Bones",AJCC7,any,T2,N0,M0,Any,Any,IB,"source_page=297; extract_method=stage_first; extra_factors/raw_extra=G1,2 Low grade, GX | upper limb, scapula,; duplicate_source_page=300; duplicate_source_page=305 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Bone -> tool_site=Bone: Appendicular Skeleton, Trunk, Skull and Facial Bones"
"Bone: Appendicular Skeleton, Trunk, Skull and Facial Bones",AJCC7,any,T3,N0,M0,Any,Any,IB,"source_page=297; extract_method=stage_carried; extra_factors/raw_extra=G1,2 Low grade, GX | and associated; duplicate_source_page=300; duplicate_source_page=305 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Bone -> tool_site=Bone: Appendicular Skeleton, Trunk, Skull and Facial Bones"
"Bone: Appendicular Skeleton, Trunk, Skull and Facial Bones",AJCC7,any,T2,N0,M0,Any,Any,IIB,"source_page=297; extract_method=stage_first; extra_factors/raw_extra=G3, 4 High grade | upper limb and; duplicate_source_page=300; duplicate_source_page=305 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Bone -> tool_site=Bone: Appendicular Skeleton, Trunk, Skull and Facial Bones"
"Bone: Appendicular Skeleton, Trunk, Skull and Facial Bones",AJCC7,any,T3,N0,M0,Any,Any,III,"source_page=297; extract_method=stage_first; extra_factors/raw_extra=G3, 4 | C40.2 Long bones of; duplicate_source_page=300; duplicate_source_page=305 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Bone -> tool_site=Bone: Appendicular Skeleton, Trunk, Skull and Facial Bones"
"Bone: Appendicular Skeleton, Trunk, Skull and Facial Bones",AJCC7,any,T1,N0,M0,Any,Any,IIA,"source_page=300; extract_method=stage_first; extra_factors/raw_extra=G3, 4 High grade | Clear cell; duplicate_source_page=305 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Bone -> tool_site=Bone: Appendicular Skeleton, Trunk, Skull and Facial Bones"
"Bone: Appendicular Skeleton, Trunk, Skull and Facial Bones",AJCC7,any,Any,N0,M1a,Any,Any,IVA,"source_page=305; extract_method=stage_first; extra_factors/raw_extra=Any G | IVA | Any T | N0 | M1a | Any G | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Bone -> tool_site=Bone: Appendicular Skeleton, Trunk, Skull and Facial Bones"
"Bone: Appendicular Skeleton, Trunk, Skull and Facial Bones",AJCC7,any,Any,N1,Any,Any,Any,IVB,"source_page=305; extract_method=stage_first; extra_factors/raw_extra=Any G | IVB | Any T | N1 | Any M | Any G | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Bone -> tool_site=Bone: Appendicular Skeleton, Trunk, Skull and Facial Bones"
"Bone: Appendicular Skeleton, Trunk, Skull and Facial Bones",AJCC7,any,Any,Any,M1b,Any,Any,IVB,"source_page=305; extract_method=stage_carried; extra_factors/raw_extra=Any G | Any T | Any N | M1b | Any G | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Bone -> tool_site=Bone: Appendicular Skeleton, Trunk, Skull and Facial Bones"
Bone: Spine,AJCC7,any,T1,N0,M0,Any,Any,IA,"source_page=297; extract_method=stage_first; extra_factors/raw_extra=G1,2 Low grade, GX | C40.0 Long bones of; duplicate_source_page=300; duplicate_source_page=305 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Bone -> tool_site=Bone: Spine"
Bone: Spine,AJCC7,any,T2,N0,M0,Any,Any,IB,"source_page=297; extract_method=stage_first; extra_factors/raw_extra=G1,2 Low grade, GX | upper limb, scapula,; duplicate_source_page=300; duplicate_source_page=305 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Bone -> tool_site=Bone: Spine"
Bone: Spine,AJCC7,any,T3,N0,M0,Any,Any,IB,"source_page=297; extract_method=stage_carried; extra_factors/raw_extra=G1,2 Low grade, GX | and associated; duplicate_source_page=300; duplicate_source_page=305 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Bone -> tool_site=Bone: Spine"
Bone: Spine,AJCC7,any,T2,N0,M0,Any,Any,IIB,"source_page=297; extract_method=stage_first; extra_factors/raw_extra=G3, 4 High grade | upper limb and; duplicate_source_page=300; duplicate_source_page=305 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Bone -> tool_site=Bone: Spine"
Bone: Spine,AJCC7,any,T3,N0,M0,Any,Any,III,"source_page=297; extract_method=stage_first; extra_factors/raw_extra=G3, 4 | C40.2 Long bones of; duplicate_source_page=300; duplicate_source_page=305 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Bone -> tool_site=Bone: Spine"
Bone: Spine,AJCC7,any,T1,N0,M0,Any,Any,IIA,"source_page=300; extract_method=stage_first; extra_factors/raw_extra=G3, 4 High grade | Clear cell; duplicate_source_page=305 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Bone -> tool_site=Bone: Spine"
Bone: Spine,AJCC7,any,Any,N0,M1a,Any,Any,IVA,source_page=305; extract_method=stage_first; extra_factors/raw_extra=Any G | IVA | Any T | N0 | M1a | Any G | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Bone -> tool_site=Bone: Spine
Bone: Spine,AJCC7,any,Any,N1,Any,Any,Any,IVB,source_page=305; extract_method=stage_first; extra_factors/raw_extra=Any G | IVB | Any T | N1 | Any M | Any G | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Bone -> tool_site=Bone: Spine
Bone: Spine,AJCC7,any,Any,Any,M1b,Any,Any,IVB,source_page=305; extract_method=stage_carried; extra_factors/raw_extra=Any G | Any T | Any N | M1b | Any G | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Bone -> tool_site=Bone: Spine
Bone: Pelvis,AJCC7,any,T1,N0,M0,Any,Any,IA,"source_page=297; extract_method=stage_first; extra_factors/raw_extra=G1,2 Low grade, GX | C40.0 Long bones of; duplicate_source_page=300; duplicate_source_page=305 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Bone -> tool_site=Bone: Pelvis"
Bone: Pelvis,AJCC7,any,T2,N0,M0,Any,Any,IB,"source_page=297; extract_method=stage_first; extra_factors/raw_extra=G1,2 Low grade, GX | upper limb, scapula,; duplicate_source_page=300; duplicate_source_page=305 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Bone -> tool_site=Bone: Pelvis"
Bone: Pelvis,AJCC7,any,T3,N0,M0,Any,Any,IB,"source_page=297; extract_method=stage_carried; extra_factors/raw_extra=G1,2 Low grade, GX | and associated; duplicate_source_page=300; duplicate_source_page=305 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Bone -> tool_site=Bone: Pelvis"
Bone: Pelvis,AJCC7,any,T2,N0,M0,Any,Any,IIB,"source_page=297; extract_method=stage_first; extra_factors/raw_extra=G3, 4 High grade | upper limb and; duplicate_source_page=300; duplicate_source_page=305 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Bone -> tool_site=Bone: Pelvis"
Bone: Pelvis,AJCC7,any,T3,N0,M0,Any,Any,III,"source_page=297; extract_method=stage_first; extra_factors/raw_extra=G3, 4 | C40.2 Long bones of; duplicate_source_page=300; duplicate_source_page=305 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Bone -> tool_site=Bone: Pelvis"
Bone: Pelvis,AJCC7,any,T1,N0,M0,Any,Any,IIA,"source_page=300; extract_method=stage_first; extra_factors/raw_extra=G3, 4 High grade | Clear cell; duplicate_source_page=305 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Bone -> tool_site=Bone: Pelvis"
Bone: Pelvis,AJCC7,any,Any,N0,M1a,Any,Any,IVA,source_page=305; extract_method=stage_first; extra_factors/raw_extra=Any G | IVA | Any T | N0 | M1a | Any G | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Bone -> tool_site=Bone: Pelvis
Bone: Pelvis,AJCC7,any,Any,N1,Any,Any,Any,IVB,source_page=305; extract_method=stage_first; extra_factors/raw_extra=Any G | IVB | Any T | N1 | Any M | Any G | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Bone -> tool_site=Bone: Pelvis
Bone: Pelvis,AJCC7,any,Any,Any,M1b,Any,Any,IVB,source_page=305; extract_method=stage_carried; extra_factors/raw_extra=Any G | Any T | Any N | M1b | Any G | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Bone -> tool_site=Bone: Pelvis
Soft Tissue Sarcoma of the Head and Neck,AJCC7,yp,T1a,N0,M0,Any,Any,IA,"source_page=307; extract_method=stage_first; extra_factors/raw_extra=G1, GX | C38.0 Heart; duplicate_source_page=311 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Soft Tissue Sarcoma -> tool_site=Soft Tissue Sarcoma of the Head and Neck; AJCC7 has one broader Soft Tissue Sarcoma chapter; AJCC8 splits by anatomic site."
Soft Tissue Sarcoma of the Head and Neck,AJCC7,yp,T1b,N0,M0,Any,Any,IA,"source_page=307; extract_method=stage_carried; extra_factors/raw_extra=G1, GX | C38.1 Anterior; duplicate_source_page=311 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Soft Tissue Sarcoma -> tool_site=Soft Tissue Sarcoma of the Head and Neck; AJCC7 has one broader Soft Tissue Sarcoma chapter; AJCC8 splits by anatomic site."
Soft Tissue Sarcoma of the Head and Neck,AJCC7,yp,T2a,N0,M0,Any,Any,IB,"source_page=307; extract_method=stage_first; extra_factors/raw_extra=G1, GX | mediastinum; duplicate_source_page=311 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Soft Tissue Sarcoma -> tool_site=Soft Tissue Sarcoma of the Head and Neck; AJCC7 has one broader Soft Tissue Sarcoma chapter; AJCC8 splits by anatomic site."
Soft Tissue Sarcoma of the Head and Neck,AJCC7,yp,T2b,N0,M0,Any,Any,IB,"source_page=307; extract_method=stage_carried; extra_factors/raw_extra=G1, GX | C38.2 Posterior; duplicate_source_page=311 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Soft Tissue Sarcoma -> tool_site=Soft Tissue Sarcoma of the Head and Neck; AJCC7 has one broader Soft Tissue Sarcoma chapter; AJCC8 splits by anatomic site."
Soft Tissue Sarcoma of the Head and Neck,AJCC7,yp,T1a,N0,M0,Any,Any,IIA,"source_page=307; extract_method=stage_first; extra_factors/raw_extra=G2, G3 | C38.3 Mediastinum, NOS; duplicate_source_page=311 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Soft Tissue Sarcoma -> tool_site=Soft Tissue Sarcoma of the Head and Neck; AJCC7 has one broader Soft Tissue Sarcoma chapter; AJCC8 splits by anatomic site."
Soft Tissue Sarcoma of the Head and Neck,AJCC7,yp,T1b,N0,M0,Any,Any,IIA,"source_page=307; extract_method=stage_carried; extra_factors/raw_extra=G2, G3 | C38.8 Overlapping lesion; duplicate_source_page=311 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Soft Tissue Sarcoma -> tool_site=Soft Tissue Sarcoma of the Head and Neck; AJCC7 has one broader Soft Tissue Sarcoma chapter; AJCC8 splits by anatomic site."
Soft Tissue Sarcoma of the Head and Neck,AJCC7,yp,T2a,N0,M0,Any,Any,IIB,"source_page=307; extract_method=stage_first; extra_factors/raw_extra=G2 | of heart, mediasti-; duplicate_source_page=311 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Soft Tissue Sarcoma -> tool_site=Soft Tissue Sarcoma of the Head and Neck; AJCC7 has one broader Soft Tissue Sarcoma chapter; AJCC8 splits by anatomic site."
Soft Tissue Sarcoma of the Head and Neck,AJCC7,yp,T2b,N0,M0,Any,Any,IIB,"source_page=307; extract_method=stage_carried; extra_factors/raw_extra=G2 | num, and pleura; duplicate_source_page=311 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Soft Tissue Sarcoma -> tool_site=Soft Tissue Sarcoma of the Head and Neck; AJCC7 has one broader Soft Tissue Sarcoma chapter; AJCC8 splits by anatomic site."
Soft Tissue Sarcoma of the Head and Neck,AJCC7,yp,T2a|T2b,N0,M0,Any,Any,III,source_page=307; extract_method=stage_first; extra_factors/raw_extra=G3 | and autonomic; duplicate_source_page=311 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Soft Tissue Sarcoma -> tool_site=Soft Tissue Sarcoma of the Head and Neck; AJCC7 has one broader Soft Tissue Sarcoma chapter; AJCC8 splits by anatomic site.
Soft Tissue Sarcoma of the Head and Neck,AJCC7,yp,Any,N1,M0,Any,Any,III,source_page=307; extract_method=stage_carried; extra_factors/raw_extra=Any G | nervous system of; duplicate_source_page=311 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Soft Tissue Sarcoma -> tool_site=Soft Tissue Sarcoma of the Head and Neck; AJCC7 has one broader Soft Tissue Sarcoma chapter; AJCC8 splits by anatomic site.
Soft Tissue Sarcoma of the Head and Neck,AJCC7,yp,Any,Any,M1,Any,Any,IV,"source_page=307; extract_method=stage_first; extra_factors/raw_extra=Any G | head, face, and neck; duplicate_source_page=311 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Soft Tissue Sarcoma -> tool_site=Soft Tissue Sarcoma of the Head and Neck; AJCC7 has one broader Soft Tissue Sarcoma chapter; AJCC8 splits by anatomic site."
Soft Tissue Sarcoma of the Head and Neck,AJCC7,any,T1a,N0,M0,Any,Any,IA,"source_page=313; extract_method=stage_first; extra_factors/raw_extra=G1, GX | IA | T1a | N0 | M0 | G1, GX | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Soft Tissue Sarcoma -> tool_site=Soft Tissue Sarcoma of the Head and Neck; AJCC7 has one broader Soft Tissue Sarcoma chapter; AJCC8 splits by anatomic site."
Soft Tissue Sarcoma of the Head and Neck,AJCC7,any,T1b,N0,M0,Any,Any,IA,"source_page=313; extract_method=stage_carried; extra_factors/raw_extra=G1, GX | T1b | N0 | M0 | G1, GX | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Soft Tissue Sarcoma -> tool_site=Soft Tissue Sarcoma of the Head and Neck; AJCC7 has one broader Soft Tissue Sarcoma chapter; AJCC8 splits by anatomic site."
Soft Tissue Sarcoma of the Head and Neck,AJCC7,any,T2a,N0,M0,Any,Any,IB,"source_page=313; extract_method=stage_first; extra_factors/raw_extra=G1, GX | IB | T2a | N0 | M0 | G1, GX | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Soft Tissue Sarcoma -> tool_site=Soft Tissue Sarcoma of the Head and Neck; AJCC7 has one broader Soft Tissue Sarcoma chapter; AJCC8 splits by anatomic site."
Soft Tissue Sarcoma of the Head and Neck,AJCC7,any,T2b,N0,M0,Any,Any,IB,"source_page=313; extract_method=stage_carried; extra_factors/raw_extra=G1, GX | T2b | N0 | M0 | G1, GX | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Soft Tissue Sarcoma -> tool_site=Soft Tissue Sarcoma of the Head and Neck; AJCC7 has one broader Soft Tissue Sarcoma chapter; AJCC8 splits by anatomic site."
Soft Tissue Sarcoma of the Head and Neck,AJCC7,any,T1a,N0,M0,Any,Any,IIA,"source_page=313; extract_method=stage_first; extra_factors/raw_extra=G2, G3 | IIA | T1a | N0 | M0 | G2, G3 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Soft Tissue Sarcoma -> tool_site=Soft Tissue Sarcoma of the Head and Neck; AJCC7 has one broader Soft Tissue Sarcoma chapter; AJCC8 splits by anatomic site."
Soft Tissue Sarcoma of the Head and Neck,AJCC7,any,T1b,N0,M0,Any,Any,IIA,"source_page=313; extract_method=stage_carried; extra_factors/raw_extra=G2, G3 | T1b | N0 | M0 | G2, G3 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Soft Tissue Sarcoma -> tool_site=Soft Tissue Sarcoma of the Head and Neck; AJCC7 has one broader Soft Tissue Sarcoma chapter; AJCC8 splits by anatomic site."
Soft Tissue Sarcoma of the Head and Neck,AJCC7,any,T2a,N0,M0,Any,Any,IIB,source_page=313; extract_method=stage_first; extra_factors/raw_extra=G2 | IIB | T2a | N0 | M0 | G2 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Soft Tissue Sarcoma -> tool_site=Soft Tissue Sarcoma of the Head and Neck; AJCC7 has one broader Soft Tissue Sarcoma chapter; AJCC8 splits by anatomic site.
Soft Tissue Sarcoma of the Head and Neck,AJCC7,any,T2b,N0,M0,Any,Any,IIB,source_page=313; extract_method=stage_carried; extra_factors/raw_extra=G2 | T2b | N0 | M0 | G2 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Soft Tissue Sarcoma -> tool_site=Soft Tissue Sarcoma of the Head and Neck; AJCC7 has one broader Soft Tissue Sarcoma chapter; AJCC8 splits by anatomic site.
Soft Tissue Sarcoma of the Head and Neck,AJCC7,any,Any,N1,M0,Any,Any,IIB,source_page=313; extract_method=stage_carried; extra_factors/raw_extra=Any G | Any T N1 | M0 | Any G | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Soft Tissue Sarcoma -> tool_site=Soft Tissue Sarcoma of the Head and Neck; AJCC7 has one broader Soft Tissue Sarcoma chapter; AJCC8 splits by anatomic site.
Soft Tissue Sarcoma of the Head and Neck,AJCC7,any,Any,Any,M1,Any,Any,IV,source_page=313; extract_method=stage_first; extra_factors/raw_extra=Any G | IV | Any T Any N | M1 | Any G | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Soft Tissue Sarcoma -> tool_site=Soft Tissue Sarcoma of the Head and Neck; AJCC7 has one broader Soft Tissue Sarcoma chapter; AJCC8 splits by anatomic site.
Soft Tissue Sarcoma of the Trunk and Extremities,AJCC7,yp,T1a,N0,M0,Any,Any,IA,"source_page=307; extract_method=stage_first; extra_factors/raw_extra=G1, GX | C38.0 Heart; duplicate_source_page=311 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Soft Tissue Sarcoma -> tool_site=Soft Tissue Sarcoma of the Trunk and Extremities; AJCC7 has one broader Soft Tissue Sarcoma chapter; AJCC8 splits by anatomic site."
Soft Tissue Sarcoma of the Trunk and Extremities,AJCC7,yp,T1b,N0,M0,Any,Any,IA,"source_page=307; extract_method=stage_carried; extra_factors/raw_extra=G1, GX | C38.1 Anterior; duplicate_source_page=311 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Soft Tissue Sarcoma -> tool_site=Soft Tissue Sarcoma of the Trunk and Extremities; AJCC7 has one broader Soft Tissue Sarcoma chapter; AJCC8 splits by anatomic site."
Soft Tissue Sarcoma of the Trunk and Extremities,AJCC7,yp,T2a,N0,M0,Any,Any,IB,"source_page=307; extract_method=stage_first; extra_factors/raw_extra=G1, GX | mediastinum; duplicate_source_page=311 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Soft Tissue Sarcoma -> tool_site=Soft Tissue Sarcoma of the Trunk and Extremities; AJCC7 has one broader Soft Tissue Sarcoma chapter; AJCC8 splits by anatomic site."
Soft Tissue Sarcoma of the Trunk and Extremities,AJCC7,yp,T2b,N0,M0,Any,Any,IB,"source_page=307; extract_method=stage_carried; extra_factors/raw_extra=G1, GX | C38.2 Posterior; duplicate_source_page=311 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Soft Tissue Sarcoma -> tool_site=Soft Tissue Sarcoma of the Trunk and Extremities; AJCC7 has one broader Soft Tissue Sarcoma chapter; AJCC8 splits by anatomic site."
Soft Tissue Sarcoma of the Trunk and Extremities,AJCC7,yp,T1a,N0,M0,Any,Any,IIA,"source_page=307; extract_method=stage_first; extra_factors/raw_extra=G2, G3 | C38.3 Mediastinum, NOS; duplicate_source_page=311 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Soft Tissue Sarcoma -> tool_site=Soft Tissue Sarcoma of the Trunk and Extremities; AJCC7 has one broader Soft Tissue Sarcoma chapter; AJCC8 splits by anatomic site."
Soft Tissue Sarcoma of the Trunk and Extremities,AJCC7,yp,T1b,N0,M0,Any,Any,IIA,"source_page=307; extract_method=stage_carried; extra_factors/raw_extra=G2, G3 | C38.8 Overlapping lesion; duplicate_source_page=311 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Soft Tissue Sarcoma -> tool_site=Soft Tissue Sarcoma of the Trunk and Extremities; AJCC7 has one broader Soft Tissue Sarcoma chapter; AJCC8 splits by anatomic site."
Soft Tissue Sarcoma of the Trunk and Extremities,AJCC7,yp,T2a,N0,M0,Any,Any,IIB,"source_page=307; extract_method=stage_first; extra_factors/raw_extra=G2 | of heart, mediasti-; duplicate_source_page=311 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Soft Tissue Sarcoma -> tool_site=Soft Tissue Sarcoma of the Trunk and Extremities; AJCC7 has one broader Soft Tissue Sarcoma chapter; AJCC8 splits by anatomic site."
Soft Tissue Sarcoma of the Trunk and Extremities,AJCC7,yp,T2b,N0,M0,Any,Any,IIB,"source_page=307; extract_method=stage_carried; extra_factors/raw_extra=G2 | num, and pleura; duplicate_source_page=311 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Soft Tissue Sarcoma -> tool_site=Soft Tissue Sarcoma of the Trunk and Extremities; AJCC7 has one broader Soft Tissue Sarcoma chapter; AJCC8 splits by anatomic site."
Soft Tissue Sarcoma of the Trunk and Extremities,AJCC7,yp,T2a|T2b,N0,M0,Any,Any,III,source_page=307; extract_method=stage_first; extra_factors/raw_extra=G3 | and autonomic; duplicate_source_page=311 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Soft Tissue Sarcoma -> tool_site=Soft Tissue Sarcoma of the Trunk and Extremities; AJCC7 has one broader Soft Tissue Sarcoma chapter; AJCC8 splits by anatomic site.
Soft Tissue Sarcoma of the Trunk and Extremities,AJCC7,yp,Any,N1,M0,Any,Any,III,source_page=307; extract_method=stage_carried; extra_factors/raw_extra=Any G | nervous system of; duplicate_source_page=311 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Soft Tissue Sarcoma -> tool_site=Soft Tissue Sarcoma of the Trunk and Extremities; AJCC7 has one broader Soft Tissue Sarcoma chapter; AJCC8 splits by anatomic site.
Soft Tissue Sarcoma of the Trunk and Extremities,AJCC7,yp,Any,Any,M1,Any,Any,IV,"source_page=307; extract_method=stage_first; extra_factors/raw_extra=Any G | head, face, and neck; duplicate_source_page=311 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Soft Tissue Sarcoma -> tool_site=Soft Tissue Sarcoma of the Trunk and Extremities; AJCC7 has one broader Soft Tissue Sarcoma chapter; AJCC8 splits by anatomic site."
Soft Tissue Sarcoma of the Trunk and Extremities,AJCC7,any,T1a,N0,M0,Any,Any,IA,"source_page=313; extract_method=stage_first; extra_factors/raw_extra=G1, GX | IA | T1a | N0 | M0 | G1, GX | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Soft Tissue Sarcoma -> tool_site=Soft Tissue Sarcoma of the Trunk and Extremities; AJCC7 has one broader Soft Tissue Sarcoma chapter; AJCC8 splits by anatomic site."
Soft Tissue Sarcoma of the Trunk and Extremities,AJCC7,any,T1b,N0,M0,Any,Any,IA,"source_page=313; extract_method=stage_carried; extra_factors/raw_extra=G1, GX | T1b | N0 | M0 | G1, GX | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Soft Tissue Sarcoma -> tool_site=Soft Tissue Sarcoma of the Trunk and Extremities; AJCC7 has one broader Soft Tissue Sarcoma chapter; AJCC8 splits by anatomic site."
